x_pos_terminal,y_pos_terminal,month,day,hour,minute
21.243232699868194,40.22057860253442,1.0,8.0,7.0,20.0
23.820262395492552,35.54654228500361,1.0,23.0,11.0,39.0
44.88577215211512,46.71996962816778,1.0,23.0,11.0,40.0
45.419429058242024,45.62578789101406,1.0,22.0,12.0,40.0
45.243838383532925,44.326071255356226,1.0,24.0,10.0,45.0
43.716456564212905,46.94726525260561,1.0,6.0,11.0,51.0
35.34110701814968,39.89836606266498,1.0,17.0,16.0,54.0
38.24061375964148,11.36903412324735,1.0,12.0,13.0,6.0
38.18557296882619,44.95464780896038,1.0,12.0,9.0,11.0
44.104895338927356,46.34759032719119,1.0,14.0,11.0,40.0
21.569999832066973,34.21659039300356,1.0,8.0,11.0,34.0
27.873944272108652,41.18359100277971,1.0,25.0,8.0,5.0
44.33661914519647,44.06652301212756,1.0,23.0,10.0,35.0
35.26533734062784,39.02739379143733,1.0,18.0,11.0,53.0
7.860866506193512,44.3640296581352,1.0,24.0,12.0,22.0
14.818009346857524,43.28013836226472,1.0,9.0,10.0,24.0
17.54974908348888,34.05596325969031,1.0,7.0,11.0,54.0
6.008944666791149,7.319334299014935,1.0,22.0,9.0,6.0
35.602995072975745,38.61632766546425,1.0,19.0,16.0,54.0
22.540039214062954,39.03318044755478,1.0,23.0,8.0,52.0
27.374312105540806,10.993717338713815,1.0,8.0,10.0,8.0
43.255725186631864,46.53275256623659,1.0,26.0,9.0,5.0
17.767160657828395,34.44462940683233,1.0,12.0,10.0,54.0
10.05177081295489,41.167616409313766,1.0,22.0,15.0,9.0
33.80925919784177,45.056526891474604,1.0,7.0,10.0,23.0
18.97384998889928,37.04650262217825,1.0,9.0,13.0,13.0
35.20713320499259,39.934414323021414,1.0,26.0,15.0,39.0
24.047041032071473,38.26865101057872,1.0,23.0,8.0,49.0
38.251980595213524,10.436316905530683,1.0,26.0,12.0,13.0
42.033489540463734,45.53804029815586,1.0,9.0,10.0,38.0
12.174881373543366,40.464407747680184,1.0,24.0,11.0,8.0
21.022611607562375,38.11904732768019,1.0,20.0,7.0,45.0
17.79433981092065,33.36934329201931,1.0,23.0,15.0,38.0
41.402304023551864,9.254046911476026,1.0,21.0,12.0,14.0
35.0222611152888,39.02772003930108,1.0,21.0,5.0,54.0
20.112792789110983,42.29468797066634,1.0,23.0,12.0,54.0
21.310042884812813,38.130393048334064,1.0,23.0,15.0,54.0
20.634455419249484,42.17451399411823,1.0,10.0,12.0,7.0
44.849990907711096,43.11583192426756,1.0,22.0,15.0,38.0
9.146655635164617,7.804263380311503,1.0,11.0,12.0,6.0
43.40344651332348,46.61871224610578,1.0,25.0,10.0,22.0
17.04729856500185,35.072791015020734,1.0,18.0,9.0,35.0
18.246342707932058,35.40943963921991,1.0,10.0,13.0,54.0
7.186820432426271,6.487085317371377,1.0,11.0,12.0,38.0
43.758489726448886,7.427553312923896,1.0,11.0,15.0,17.0
33.65936409825455,40.22446885244657,1.0,22.0,6.0,41.0
25.100545408099826,13.353286880848565,1.0,9.0,11.0,35.0
10.707762415266448,38.287437932119886,1.0,27.0,10.0,35.0
39.353294448033864,40.074414220355806,1.0,10.0,14.0,8.0
19.20249165137589,35.043643931721455,1.0,19.0,15.0,30.0
43.950372817323064,45.52262207769821,1.0,7.0,15.0,16.0
